total time to compute on CPU: 0.060341
total time to compute on GPU: 0.266907
Is the host computation the same as the GPU computation? : True
         182007 function calls (177101 primitive calls) in 3.964 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1228    0.001    0.000    0.002    0.000 __init__.py:2069(dist_factory)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:86(<module>)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
       35    0.002    0.000    0.002    0.000 {compile}
        3    0.000    0.000    0.002    0.001 random.py:91(__init__)
        3    0.000    0.000    0.002    0.001 random.py:100(seed)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.002    0.002 _datasource.py:35(<module>)
       26    0.000    0.000    0.002    0.000 traceback.py:281(extract_stack)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1821(__add__)
    141/3    0.001    0.000    0.002    0.001 pyparsing.py:1370(_parseNoCache)
        1    0.001    0.001    0.002    0.002 subprocess.py:31(<module>)
     20/3    0.000    0.000    0.002    0.001 pyparsing.py:3397(parseImpl)
       62    0.000    0.000    0.002    0.000 __init__.py:2765(_get_metadata)
        3    0.002    0.001    0.002    0.001 {function seed at 0x7f346f1f9320}
      725    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7f347a8f6da0}
      133    0.001    0.000    0.002    0.000 pyparsing.py:3260(__init__)
        1    0.000    0.000    0.002    0.002 plistlib.py:51(<module>)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4763(srange)
      471    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
       38    0.002    0.000    0.002    0.000 {posix.listdir}
       38    0.000    0.000    0.002    0.000 __init__.py:1325(safe_version)
       63    0.000    0.000    0.002    0.000 {next}
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
       35    0.001    0.000    0.002    0.000 decorator.py:93(__init__)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
      219    0.001    0.000    0.002    0.000 numerictypes.py:365(issubdtype)
       84    0.000    0.000    0.002    0.000 pyparsing.py:3390(__init__)
        1    0.000    0.000    0.002    0.002 ssl.py:89(<module>)
      527    0.001    0.000    0.002    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
       28    0.000    0.000    0.001    0.000 __init__.py:2565(__init__)
      6/2    0.000    0.000    0.001    0.001 pyparsing.py:4183(streamline)
        2    0.001    0.001    0.001    0.001 {posix.unlink}
     1869    0.001    0.000    0.001    0.000 sre_parse.py:150(append)
     3239    0.001    0.000    0.001    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
        1    0.000    0.000    0.001    0.001 format.py:156(<module>)
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
 1038/985    0.001    0.000    0.001    0.000 {issubclass}
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.001    0.001    0.001    0.001 six.py:21(<module>)
     2458    0.001    0.000    0.001    0.000 sre_parse.py:138(__len__)
